unique_id,recipe_id,ingredients_image,name,quantity,date_added
1,1,Chicken.jpg,Chicken,"500 gms (boneless, cubed)",1/1/2015
2,1,Onion.jpg,Onions,"2 (medium, minced)",1/1/2015
3,1,Tomato.jpg,Tomato,1 (pureed),1/1/2015
4,1,Butter.jpg,Butter,"3 tablespoon (soft, unmelted)",1/1/2015
5,1,Garlic.jpg,Garlic,1 tablespoon (minced),1/1/2015
6,1,Ginger.jpg,Ginger,1 tablespoon (minced),1/1/2015
7,1,Corriander Powder.jpg,Corriander Powder,2 tablespoon,1/1/2015
8,1,Chilli Powder.jpg,Chilli Powder,1 tablespoon  ,1/1/2015
9,1,Meat Masala.jpg,Chicken Masala,1 tablespoon,1/1/2015
10,1,Fenugreek Leaves.jpg,Fenugreek Leaves,1 (large pinch),1/1/2015
11,1,Oil.jpg,Vegetable Oil,4 tablespoon,1/1/2015
12,1,Yogurt.jpg,Yogurt,1 cup,1/1/2015
13,1,Cashew.jpg,Cashew,2 tablespoon (pureed),1/1/2015
14,1,Salt.jpg,Salt,1 tablespoon,1/1/2015
15,1,Turmeric Powder.jpg,Turmeric Powder,1/2 tablespoon,1/1/2015
16,1,Cilantro Leaves.jpg,Cilantro Leaves,1 bunch,1/1/2015
17,2,Chicken.jpg,Chicken,1 kg,1/1/2015
18,2,Yogurt.jpg,Yogurt,3 cups,1/1/2015
19,2,Turmeric Powder.jpg,Turmeric Powder,1 tablespoon,1/1/2015
20,2,Chilli Powder.jpg,Red Chilli Powder,2 tablespoon,1/1/2015
21,2,Ginger.jpg,Ginger Paste,1 tablespoon,1/1/2015
22,2,Garlic.jpg,Garlic Paste,1 tablespoon,1/1/2015
23,2,Salt.jpg,Salt,To Taste,1/1/2015
24,2,Lemon.jpg,Lemon,1 tablespoon (juiced),1/1/2015
25,2,Oil.jpg,Oil,3 tablespoon,1/1/2015
26,2,Bay Leaf.jpg,Bay Leaf,1,1/1/2015
27,2,Cinnamon.jpg,Cinnamon Sticks,1,1/1/2015
28,2,Cloves.jpg,Cloves,4,1/1/2015
29,2,Black Pepper.jpg,Black Pepper,1/2 tablespoon,1/1/2015
30,2,Tomato.jpg,Tomato,1 (chopped),1/1/2015
31,2,Onion.jpg,Onions,"2 (medium, chopped)",1/1/2015
32,2,Coconut.jpg,Coconut,2 tablespoon (grated),1/1/2015
33,2,Cilantro Leaves.jpg,Corriander Leaves,1 stack,1/1/2015
34,3,Chicken.jpg,Chicken,"1 kg (boneless, cut into small cubes)",1/1/2015
35,3,Rice.jpg,Rice,"2 cups (long grained, washed & strained)",1/1/2015
36,3,,Onions,"2 (medium, sliced)",1/1/2015
37,3,,Green Chilli,2 (slit length-wise),1/1/2015
38,3,,Ginger Paste,1/2 tablespoon,1/1/2015
39,3,,Garlic Paste,1/2 tablespoon,1/1/2015
40,3,,Potato,2 (sliced),1/1/2015
41,3,,Tomato,1 (finely chopped),1/1/2015
42,3,,Corrainder Leaf,1 tablespoon (chopped),1/1/2015
43,3,,Mint Leaf,10,1/1/2015
44,3,,Clarified Butter,1/2 tablespoon,1/1/2015
45,3,,Oil,3 tablespoon (vegetable / canola),1/1/2015
46,3,,Yougurt,1/2 cup,1/1/2015
47,3,,Red Chilli Powder,1/2 tablespoon,1/1/2015
48,3,,Lemon ,1/2 tablespoon (juiced),1/1/2015
49,3,,Salt,To taste,1/1/2015
50,3,,Cloves,6,1/1/2015
51,3,,Cinnamon Stick,1,1/1/2015
52,3,,Cardamom,5 pods (green),1/1/2015
53,3,,Bay Leaf,2,1/1/2015
54,3,,Turmeric Powder,1/2 tablespoon,1/1/2015
55,4,Chicken.jpg,Chicken,1.5 kg (whole),1/1/2015
56,4,Lemon.jpg,Lemon,1 (sliced),1/1/2015
57,4,Oil.jpg,Olive Oil,2 tablespoon,1/1/2015
58,4,,Butter,2 tablespoon,1/1/2015
59,4,,Black Pepper,1 tablespoon,1/1/2015
60,4,,Salt,1 tablespoon,1/1/2015
61,4,,Mustard,3 tablespoon (sauce),1/1/2015
62,5,Chicken.jpg,Chicken,500 gms (cut into small pieces),1/1/2015
63,5,Chilli Powder.jpg,Red Chilli Powder,1 tablespoon,1/1/2015
64,5,,Turmeric Powder,1/2 tablespoon,1/1/2015
65,5,,Chicken Masala,1 tablespoon,1/1/2015
66,5,,Yogurt,1 tablespoon,1/1/2015
67,5,Ginger.jpg,Ginger Paste,1 tablespoon,1/1/2015
68,5,Garlic.jpg,Garlic Paste,1/2 tablespoon,1/1/2015
69,5,Onion.jpg,Onion,3 (finely cut),1/1/2015
70,5,,Tomato,1 (chopped),1/1/2015
71,5,,Green chilli,2 (slit length-wise),1/1/2015
72,5,,Corriander Powder,1 tablespoon,1/1/2015
73,5,,Coconut,1 (grated),1/1/2015
74,5,,Poppy Seeds,1/4 tablespoon,1/1/2015
75,5,,Fennel Seeds,1/4 tablespoon,1/1/2015
76,5,,Oil,3 tablespoon,1/1/2015
77,5,,Clove,3 pods ,1/1/2015
78,5,Cinnamon.jpg,Cinnamon,1 stick,1/1/2015
79,5,Cardamom.jpg,Cardamom,3 pods ,1/1/2015
80,5,Bay Leaf.jpg,Bay Leaf,1 (small),1/1/2015
81,5,,Mint Leaf,1 tablespoon (chopped),1/1/2015
82,5,,Curry Leaf,1 tablespoon (chopped),1/1/2015
83,6,Chicken.jpg,Chicken,500 gms (breast),1/1/2015
84,6,,Red Chilli ,4,1/1/2015
85,6,,Turmeric Powder,1/2 tablespoon,1/1/2015
86,6,,Saffron,1/4 tablespoon,1/1/2015
87,6,,Fenugreek Leaf,2 tablespoon (dried),1/1/2015
88,6,Salt.jpg,Salt,To taste,1/1/2015
89,6,Yogurt.jpg,Yogurt,1/2 cup,1/1/2015
90,6,,Ginger Paste,1 tablespoon,1/1/2015
91,6,Garlic.jpg,Garlic Paste,1 tablespoon,1/1/2015
92,6,,Onion,1 (finely cut),1/1/2015
